teamId,teamName,totalMatches,totalWins
1,Pelicans,331,153
2,Jazz,354,217
3,Cavaliers,316,123
4,76ers,360,222
5,Hawks,345,161
6,Celtics,380,225
7,Nets,349,193
8,Knicks,319,138
9,Rockets,348,146
10,Timberwolves,320,137
11,Thunder,335,144
12,Kings,323,144
13,Clippers,361,207
14,Pistons,324,104
15,Heat,371,215
16,Suns,359,209
17,Nuggets,375,223
18,Pacers,333,154
19,Raptors,364,209
20,Lakers,354,185
21,Spurs,332,147
22,Bucks,387,257
23,Hornets,319,132
24,Bulls,319,137
25,Mavericks,356,195
26,Grizzlies,346,183
27,Magic,337,127
28,Wizards,330,130
29,Trail Blazers,351,166
30,Warriors,362,197